"Título","Actividad","Temática","Dirección","Teléfono","e-mail","Web","Otros","UAP","Tipo de recurso","Población diana","Zona Accción","Dirección: coordenadas","Modificado por"
"TRAÑA MATIENA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x9915968485254392454?setLang=es-ES"",""DisplayName"":""E.P.TRAÑA-MATIENA"",""Address"":{""Street"":""C/ Trañaetxoste, 10"",""City"":""Abadiño"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48220"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1667,""Longitude"":-2.6123}}","944.288.074","014002aa@hezkuntza.net",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.6123 43.1667)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ZELAIETA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x9657193686368279159?setLang=es-ES"",""DisplayName"":""Colegio Público Zelaietako Herri Eskola"",""Address"":{""Street"":""San Trokaz Plaza, 0"",""City"":""Abadiño"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48220"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1533,""Longitude"":-2.60694}}","944.280.101","014003aa@hezkuntza.net","https://www.aldapeta.eus/",,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.60694 43.1533)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ABADIÑO",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x17086023048783441461?setLang=es-ES"",""DisplayName"":""I.E.S. ABADIÑO"",""Address"":{""Street"":""C/ Trañaetxoste, 10"",""City"":""Abadiño"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48220"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1668,""Longitude"":-2.61212}}","944.287.969","015071aa@hezkuntza.net",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.61212 43.1668)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ABADIÑOKO HAURRESKOLA-TRAÑA MATIENA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x9915968485254392454?setLang=es-ES"",""DisplayName"":""E.P.TRAÑA-MATIENA"",""Address"":{""Street"":""C/ Trañaetxoste, 10"",""City"":""Abadiño"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48220"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1667,""Longitude"":-2.6123}}","946.202.166","tranamatiena.abadino@haurreskolak.eus",,"zelaieta.abadino@haurreskolak.eus","[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia""]","Local","Point (-2.6123 43.1667)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ZALDIBAR",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x3940623007999999668?setLang=es-ES"",""DisplayName"":""CEIP Zaldibar"",""Address"":{""Street"":""ELIZONDO,8."",""City"":""Zaldibar"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48250"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1713,""Longitude"":-2.54642}}","944.287.910","014457aa@hezkuntza.net",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.54642 43.1713)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ZALDIBARKO HAURRESKOLA-ZALDUZUBIETA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x13592522297195006265?setLang=es-ES"",""DisplayName"":""Partzuergoko Haur Eskola Zaldibarko Haurreskola Zalduzubieta"",""Address"":{""Street"":""Calle Elizondo, 8"",""City"":""Zaldibar"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48250"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1719,""Longitude"":-2.5455}}","946.824.497","zalduzubieta.zaldibar@haurreskolak.eus",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia""]","Local","Point (-2.5455 43.1719)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ATXONDO",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x829615815833194752?setLang=es-ES"",""DisplayName"":""Atxondo Eskola Hlhi"",""Address"":{""Street"":""Los Fueros Plaza, 7"",""City"":""Apatamonasterio"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48291"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1291,""Longitude"":-2.58608}}","944.280.196","014452aa@hezkuntza.net",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.58608 43.1291)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ATXONDOKO HAURRESKOLA",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x5348897427699412796?setLang=es-ES"",""DisplayName"":""Atxondoko Haurreskola"",""Address"":{""Street"":""Los Fueros Plaza, 7, 48291 Atxondo, Bizkaia, Spain"",""City"":""Atxondo"",""State"":""Vasconia"",""CountryOrRegion"":""ES"",""PostalCode"":""48291"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1291,""Longitude"":-2.58608}}","946.859.002","atxondo.atxondo@haurreskolak.eus",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia""]","Local","Point (-2.58608 43.1291)","CESAR ENRIQUE PINARGOTE GAVILANES"
"UMERRI ESKOLA AKTIBOA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x18044344646391555390?setLang=es-ES"",""DisplayName"":""Umerri Eskola Aktiboa"",""Address"":{""Street"":""Elizondo Plaza 2"",""City"":""Bérriz, Spain"",""State"":""País Vasco"",""CountryOrRegion"":""ES"",""PostalCode"":""48240"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1748,""Longitude"":-2.57694}}","651.903.082","umerrigarai@gmail.com",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.57694 43.1748)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ELORRIOKO HAURRESKOLA",,"[""Infancia""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""haurreskola elorrio"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.584.907","elorrio.elorrio@haurreskolak.eus",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia""]","Local",,"CESAR ENRIQUE PINARGOTE GAVILANES"
"LEARRETA-MARKINA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x2633863178287931217?setLang=es-ES"",""DisplayName"":""Learreta Markina HLHI"",""Address"":{""Street"":""Calle Learreta-Marquina, 1"",""City"":""Berriz"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48240"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1755,""Longitude"":-2.57868}}","946.824.344","014097aa@hezkuntza.net",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.57868 43.1755)","CESAR ENRIQUE PINARGOTE GAVILANES"
"BERRIZ",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x1476857362884832426?setLang=es-ES"",""DisplayName"":""IES Berriz BHI BIGARREN HEZKUNTZA INSTITUTUA"",""Address"":{""Street"":""7,Calle De Elizondo"",""City"":""Berriz"",""State"":""País Vasco"",""CountryOrRegion"":""Spain"",""PostalCode"":""48240"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1749,""Longitude"":-2.57657}}","944.287.976","015073aa@hezkuntza.net",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.57657 43.1749)","CESAR ENRIQUE PINARGOTE GAVILANES"
"BERRIZKO HAURRESKOLA-EGUZKILORE",,"[""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x15810929720790846158?setLang=es-ES"",""DisplayName"":""Partzuergoko Haur Eskola Berrizko Haurreskola Eguzkilore"",""Address"":{""Street"":""Avenida Madre Margarita Maturana"",""City"":""Berriz"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48240"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1761,""Longitude"":-2.5763}}","946.826.339","eguzkilore.berriz@haurreskolak.eus",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia""]","Local","Point (-2.5763 43.1761)","CESAR ENRIQUE PINARGOTE GAVILANES"
"LOURDESKO AMA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x523038902?setLang=es-ES"",""DisplayName"":""LOURDESKO AMA Ikastetxea"",""Address"":{""Street"":""AVENIDA LOURDES 8"",""City"":""Elorrio"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1344,""Longitude"":-2.53579}}","946.820.056","zuzendaria@lourdeskoama.eus","https://www.aldapeta.eus/",,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.53579 43.1344)","CESAR ENRIQUE PINARGOTE GAVILANES"
"GARAMENDI-TAR AGUSTIN",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x4350099962944226193?setLang=es-ES"",""DisplayName"":""Elorrioko Musika Eskola"",""Address"":{""Street"":""Calle de San Roke 3"",""City"":""Elorrio"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1281,""Longitude"":-2.54285}}","946.231.922","elorrioko.musikaeskola@gmail.com",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.54285 43.1281)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ELORRIO IKASTETXEA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x8862963885751124844?setLang=es-ES"",""DisplayName"":""ELORRIO IKASTETXEA"",""Address"":{""Street"":""Calle San Roke, 12"",""City"":""Elorrio"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1267,""Longitude"":-2.54479}}","944.280.138","015082aa@hezkuntza.net","https://www.aldapeta.eus/",,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.54479 43.1267)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ELORRIOKO TXINTXIRRI IKASTOLA",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x521096623?setLang=es-ES"",""DisplayName"":""Elorrioko Txintxirri Ikastola"",""Address"":{""Street"":""Calle de San Pío X 3"",""City"":""Elorrio"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1305,""Longitude"":-2.5449}}","946.582.261","elorrio@ikastola.eus",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.5449 43.1305)","CESAR ENRIQUE PINARGOTE GAVILANES"
"ELORRIO",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x8862963885751124844?setLang=es-ES"",""DisplayName"":""ELORRIO IKASTETXEA"",""Address"":{""Street"":""Calle San Roke, 12"",""City"":""Elorrio"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1267,""Longitude"":-2.54479}}","944.287.821","014258aa@elorrioeskola.net",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.54479 43.1267)","CESAR ENRIQUE PINARGOTE GAVILANES"
"MARIA BITARTEKO",,"[""Infancia"",""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6692x114124393?setLang=es-ES"",""DisplayName"":""Maria Bitarteko Ikastetxea"",""Address"":{""Street"":""CALLE URARKA 2"",""City"":""Elorrio"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48230"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1319,""Longitude"":-2.5445}}","946.231.626","mariabitartekoikastetxea@hotmail.com",,,"[""Abadiño Elorrio Berriz""]","[""Centro educativo""]","[""Infancia"",""Juventud""]","Local","Point (-2.5445 43.1319)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Biziraun - Asociación de personas afectadas por el suicidio de un ser querido","Biziraun está compuesta por un grupo de personas del País Vasco, que están viviendo esta pérdida de un ser querido por suicido y quieren compartir un espacio con personas en situación similar. Para ello estamos estrechando lazos con otros grupos de superv","[""Infancia"",""Juventud"",""Personas Mayores"",""Salud mental/Bienestar emocional""]",,,,"https://www.biziraun.org/es",,"[""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Durango"",""Galdakao"",""Gernika"",""Lekeitio"",""Llodio"",""Markina"",""Gernikaldea"",""Etxebarri"",""Ondarroa""]","[""Asociación""]","[""Población general"",""Familias""]","Autonómica",,"CESAR ENRIQUE PINARGOTE GAVILANES"
"Mujeres con Voz","Apoyar la integración y promoción social de las mujeres migrantes alcanzando su autonomía en el desarrollo personal sin perder su identidad incentivando su acercamiento a la vida social y cultural, política y económica de Getxo y de la CAPV.","[""Mujeres"",""Personas en riesgo de exclusión social"",""Personas migrantes"",""Personas cuidadoras""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x17397341309763017237?setLang=es-ES"",""DisplayName"":""Mujeres Con Voz"",""Address"":{""Street"":""Amezti 6, 1º 8"",""City"":""Algorta"",""State"":""Vizcaya"",""CountryOrRegion"":""ES"",""PostalCode"":""48991"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.3491,""Longitude"":-3.01055}}","655.603.809",,"https://mujeresyvoces.blogspot.com/",,"[""Abadiño Elorrio Berriz"",""Amorebieta"",""Durango"",""Markina"",""Ondarroa"",""Aiara"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Etxebarri"",""Galdakao"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Llodio""]","[""Asociación""]","[""Personas cuidadoras"",""Personas adultas"",""Personas migrantes""]","Autonómica","Point (-3.01055 43.3491)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Mancomunidad de Durango - Servicios Sociales","Colabora con los Ayuntamientos de 11 municipios: Abadiño, Atxondo, Berriz, Durango, Elorrio, Garai, Iurreta, Izurtza, Mañaria, Zaldibar y Otxandio(no pertenece a esta OSI)
Ofrecen servicios sociales de base en el propio centro.
Además:
- Servicio de Perso","[""Personas en riesgo de exclusión social"",""Salud comunitaria"",""Personas Mayores"",""Salud mental/Bienestar emocional"",""Infancia"",""Juventud"",""Mujeres"",""Hombres""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN170B0029DBD225CA?setLang=es-ES"",""DisplayName"":""Durangoko Merinaldearen Amankomunazgoa - Gizarte Zerbitzuak"",""Address"":{""Street"":""Calle de Bruno Mauricio de Zabala 9"",""City"":""Durango"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1673,""Longitude"":-2.6353}}","946.200.492","mankomunitatea@dma.eus","https://www.dma.eus/es-ES",,"[""Abadiño Elorrio Berriz"",""Durango""]","[""Institución pública""]","[""Población general"",""Personas migrantes"",""Personas cuidadoras"",""Personas adultas"",""Personas mayores"",""Diversidad funcional""]","Local","Point (-2.6353 43.1673)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Abadiño - Bienestar Social","Informar y orientar sobre los recursos sociales existentes
Facilitar el acceso a los servicios y prestaciones sociales a todas las personas que tienen derecho a ellas
Ayudar a las personas que viven en los municipios y no tienen cubiertas sus necesidades ","[""Salud mental/Bienestar emocional"",""Personas Mayores"",""Juventud"",""Infancia""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x1013914111028538393?setLang=es-ES"",""DisplayName"":""Abadiño Elizateko Udala"",""Address"":{""Street"":""San Trokaz plaza, 1"",""City"":""Abadiño-Zelaieta"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48220"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1524,""Longitude"":-2.60805}}","946.200.492","sac@abadiano.eus","https://www.xn--abadio-0wa.org/es-ES/Servicios/BienestarSocial/Paginas/default.aspx",,"[""Abadiño Elorrio Berriz""]","[""Institución pública""]","[""Población general"",""Personas migrantes"",""Personas cuidadoras"",""Personas adultas"",""Personas mayores"",""Diversidad funcional""]","Local","Point (-2.60805 43.1524)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Esku Hutsik - Asociación de duelo gestacional, perinatal y neonatal de Euskadi y Navarra","Ofrecen recursos materiales y humanos a familias para el proceso y acompañamiento del duelo.
Acompañamiento burocrático tras el fallecimiento de un/a hije.
También en embarazos con complicaciones, dudas, embarazos arcoiris...","[""Salud mental/Bienestar emocional"",""Salud sexual y reproductiva"",""Personas cuidadoras""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNDE5907510395F41?setLang=es-ES"",""DisplayName"":""Esku Hutsik"",""Address"":{""Street"":""Plaza de José María Chavarri Zuazo"",""City"":""Las Arenas-Areeta"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48930"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.33,""Longitude"":-3.00693}}","722.822.039","eskuhutsik@gmail.com","https://eskuhutsik.es/",,"[""Durango"",""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Etxebarri"",""Galdakao"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Llodio"",""Markina"",""Ondarroa""]","[""Asociación""]","[""Población general"",""Familias""]","Estatal","Point (-3.00693 43.33)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Mancomunidad de Durango - Zaindu","Servicio de apoyo a familiares cuidadores","[""Personas cuidadoras"",""Mujeres"",""Personas Mayores"",""Enfermedades crónicas"",""Personas en riesgo de exclusión social"",""Salud mental/Bienestar emocional""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x16419206537484515597?setLang=es-ES"",""DisplayName"":""Landako Gunea"",""Address"":{""Street"":""Landako etorbidea, 6"",""City"":""Durango"",""State"":""Vizcaya"",""CountryOrRegion"":""Spain"",""PostalCode"":""48200"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1711,""Longitude"":-2.63055}}","946.200.546",,"https://www.dma.eus/es-ES/Servicios/Servicios-Sociales/Zaindu/Paginas/default.aspx",,"[""Abadiño Elorrio Berriz"",""Durango""]","[""Institución pública""]","[""Familias""]","Local","Point (-2.63055 43.1711)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Residencia Atxarte","Influir sobre el cuerpo social con objeto de conseguir la más completa toma de conciencia de la sociedad para que ésta, en su conjunto, acepte a las personas con discapacidad intelectual y colabore en el reconocimiento y ejercicio de sus derechos.
Proporc","[""Personas Mayores"",""Enfermedades crónicas"",""Salud mental/Bienestar emocional""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x12556364372110661317?setLang=es-ES"",""DisplayName"":""Residencia Atxarte De Gorabide"",""Address"":{""Street"":""Astola Auzoa, 66, 48220 Abadiño, Bizkaia, Spain"",""City"":""Abadiño"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48220"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1483,""Longitude"":-2.61763}}","946.816.141","atxarte@gorabide.com","https://gorabide.com/",,"[""Abadiño Elorrio Berriz""]","[""Sanidad""]","[""Familias"",""Diversidad funcional"",""Personas mayores""]","Local","Point (-2.61763 43.1483)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento de Zaldibar - Kultura","Gestiona Bibliotecas, Cultura y Deporte en el municipio
Publicita periódicamente actividades relacionadas en este ámbito
Tiene actividad a través del canal de Whatasapp y Redes Sociales","[""Cultura, ocio y naturaleza"",""Actividad física""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x12485652238147608098?setLang=es-ES"",""DisplayName"":""Ayuntamiento De Zaldibar"",""Address"":{""Street"":""Calle Elizondo, 10"",""City"":""Zaldibar"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48250"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1712,""Longitude"":-2.54679}}","696.509.967","kultura@zaldibar.eus","https://www.zaldibar.eus/es-ES/Paginas/default.aspx",,"[""Abadiño Elorrio Berriz""]","[""Institución pública""]","[""Población general""]","Local","Point (-2.54679 43.1712)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Contra el Cáncer en Bizkaia","Área de promoción y prevención
Colaboración con educación y salud para la promoción de actividad de espacios sin humo, cáncer colorrectal y protección solar

Área de Trabajo social
Prestación de material ortopédico, ayudas económicas, pisos, acompañamient","[""Salud mental/Bienestar emocional"",""Juventud"",""Personas Mayores"",""Infancia"",""Enfermedades crónicas""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x3747471864240632857?setLang=es-ES"",""DisplayName"":""Asociación Contra El Cáncer En Bizkaia"",""Address"":{""Street"":""C/ Licenciado Poza, 14, 1ª Planta"",""City"":""Bilbao"",""State"":""BI"",""CountryOrRegion"":""España"",""PostalCode"":""48011"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2612,""Longitude"":-2.93657}}","900.100.036",,"https://www.contraelcancer.es/es",,"[""Abadiño Elorrio Berriz"",""Amorebieta"",""Durango"",""Markina"",""Ondarroa"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Bermeo"",""Arratia"",""Galdakao"",""Etxebarri"",""Basauri Kareaga"",""Basauri Ariz"",""Arrigorriaga"",""Aiara""]","[""Asociación""]","[""Familias"",""Personas cuidadoras""]","Provincial","Point (-2.93657 43.2612)","CESAR ENRIQUE PINARGOTE GAVILANES"
"Gobierno Vasco - Departamento de Igualdad, Justicia y Políticas Sociales",,"[""Mujeres"",""Población general""]",,,,,,"[""Aiara"",""Abadiño Elorrio Berriz"",""Basauri Ariz"",""Arrigorriaga"",""Basauri Kareaga"",""Arratia"",""Bermeo"",""Durango"",""Etxebarri"",""Galdakao"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Llodio"",""Amorebieta"",""Markina"",""Ondarroa""]","[""Institución pública""]","[""Población general"",""Mujer""]","Autonómica",,"CESAR ENRIQUE PINARGOTE GAVILANES"
"Gobierno Vasco – Departamento de Bienestar, Juventud y Reto Demográfico","Diseño, planificación y ejecución de políticas públicas orientadas al bienestar social, la juventud, las familias, la infancia y adolescencia, la emancipación juvenil, el reto demográfico, la atención a la dependencia, la inclusión social, la inmigración, el voluntariado y el fortalecimiento del tercer sector social en la Comunidad Autónoma del País Vasco.","[""Juventud"",""Infancia"",""Personas en riesgo de exclusión social"",""Personas cuidadoras"",""Personas migrantes""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""C/ Donostia – San Sebastián, 1 Lakua – Vitoria-Gasteiz 01010 Araba / Álava"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","945.018.000",,"https://www.euskadi.eus/gobierno-vasco/departamento-bienestar-juventud-reto-demografico/","Atención ciudadana – Gobierno Vasco (Servicio 012)  
Se canaliza la atención a través del teléfono 012 y la sede electrónica.","[""Abadiño Elorrio Berriz"",""Aiara"",""Amorebieta"",""Arratia"",""Arrigorriaga"",""Basauri Ariz"",""Basauri Kareaga"",""Bermeo"",""Durango"",""Etxebarri"",""Galdakao"",""Gernika"",""Gernikaldea"",""Lekeitio"",""Llodio"",""Markina"",""Ondarroa""]","[""Institución pública""]","[""Población general""]","Autonómica",,"CESAR ENRIQUE PINARGOTE GAVILANES"
"Ayuntamiento Galdakao - Promoción económica y Empleo",,"[""Formación"",""Ocupación/inserción laboral"",""Población general""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YNDDA520B5C5AE7041?setLang=es-ES"",""DisplayName"":""Ayuntamiento de Galdakao"",""Address"":{""Street"":""Plaza de Gurutzeko 1"",""City"":""Galdakao"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48960"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.2312,""Longitude"":-2.83991}}","944.010.580",,"https://www.galdakao.eus/promocion-economica-empleo",,"[""Galdakao""]","[""Institucion""]",,"Local","Point (-2.83991 43.2312)","CESAR ENRIQUE PINARGOTE GAVILANES"
